Name,Description,Example,Conditional requirement conditions
**##FOF-CT_version=**,Version of the FOF format used in this case.,v1.0,
**##Table_namespace=**,Identifier for this type of table. Value must be as in the example.,4dn_FOF-CT_cell,
**##Cell_Type=**,"This field records the type of cells reported in this table. It is recommended to use an ontology term for example from the `EFO <http://www.ebi.ac.uk/efo/EFO_0000324>`_ ontology. Examples include:  Primary cell line, Immortal cell line, Induced pluripotent stem (IPS) cell, Cell in tissue, Cell in organoid, etc.",Cell in tissue,
*##Extra_Cell_ROI_Type=*,"This field records the type of extracellular structure ROIs reported in this table. It is recommended  to use an ontology term such as a child of the `EFO 'organism part' term <http://www.ebi.ac.uk/efo/EFO_0000635>`_. Examples include:  Tissue, Organoid, etc.",Tissue,Conditional requirement: this MUST be reported in any Extra_Cell ROI is idenfied as part of this experiment.
*##XYZ_Unit=*,"If relevant, the unit used to represent XYZ locations or distances in this table. Note: use micron to avoid problem with special, Greek symbols. Other allowed values *should* be drawn from SI units of `Length <https://en.wikipedia.org/wiki/SI_base_unit>`_. Examples: 'nm', 'micron' 'mm' etc.",micron,Conditional requirement: this MUST be reported if any locations metrics are reported.
*##Time_Unit=*,"If relevant, the unit used to represent a time interval in this table. Allowed values *should* be drawn from SI units of `Time <https://en.wikipedia.org/wiki/SI_base_unit>`_ or be one of the following: 'min', and 'hr'.",s,Conditional requirement: this MUST be reported if any time metrics are reported.
*##Intensity_Unit=*,"If relevant, the unit used to represent intensity measurements in this table.",a.u.,Conditional requirement: this MUST be reported if any intensity metrics are reported.
**#Lab_Name:**,name of the lab where the experiment was performed.,Nobel,
**#Experimenter_Name:**,name of the person performing the experiment.,John Doe,
**#Experimenter_Contact:**,email address of the person performing the experiment.,john.doe@email.com,
**#Description:**,"A free-text, description of the experiment and of the data recorded in this table. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.",,
*#Software_Title:*,"The name(s) of the Software(s) that were used here for localizing individual FISH-omics bright Spots, to produce three-dimensional (3D) polymeric chromatin Traces or for segmentation to identify individual cells, subcellular structures or extra-cellular entities, as applicable.",AlgorithmXYZ,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Software_Type:*,"The type of this Software. Allowed values: Loc, SpotLoc, Tracing, SpotLoc+Tracing, Segmentation, QC, Distance, Other",Segmentation,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Software_Authors:*,"The Name(s) of the individual Author(s) of this Software. In case there are more than one Authors, individual names should be listed as follows, Doe, John; Smith, Jane; etc,.",John Doe,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Software_Description:*,"A free-text, description of this Software. This description should provide a detailed understanding of the algortithm and of the analysis parameters that were used, in order to guarantee interpretation and reproducibility.",A pretty clear description,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Software_Repository:*,The URL of any repository or archive where the Software executable release can be obtained.,https://github.com/repo_name_goes_here,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Software_PreferredCitationID:*,"The Unique Identifier for the preferred/primary publication describing this Software. Examples include, Digital Object Identifier (DOI), PubMed Central Identifier (PMCID), ArXiv.org ID etc,.",https://doi.org/doi_goes_here,Conditional requirement: this MUST be reported any time a software is used to produce data associated with this table.
*#Intensity_Measurement_Method*,"If relevant, the method that was used to performed intensity measurements. In particular, sufficient information should be provided to document how digital intensity signals were converted in Photon conunts.",Mean Fluorescence Intensity,Conditional requirement: this MUST be reported if any intensity metrics are reported.
#^Optional_Column_1:,Optional column 1 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_Column_2:,Optional column 2 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_Column_3:,Optional column 3 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
**#Additional_Tables:**,list of the additional tables being submitted. Note: use a comma to separate each table name from the next.,"4dn_FOF-CT_core, 4dn_FOF-CT_rna, 4dn_FOF-CT_quality, 4dn_FOF-CT_bio, 4dn_FOF-CT_trace",
**##Columns=**,list of the data column headers used in the table. Note: enclose the column headers and use a comma to separate each header name from the next.,"(Cell_ID, Extra_Cell_ROI_ID, Optional_column_1, Optional_column_2, Optional_colummn_3)",
