Name,Description,Example,Conditional requirement conditions
**##FOF-CT_Version=**,Version of the FOF format used in this case.,v1.0,
**##Table_Namespace=**,Identifier for this type of table. Value must be as in the example.,4dn_FOF-CT_core,
**##Genome_Assembly=**,"Genome build. Notes: **(1)**  the 4DN Data Portal only accepts GRCh38 for human and GRCm38 for mouse. For other species see https://data.4dnucleome.org/search/?type=Organism; **(2)** in case the genome under study contains an iNSERTION or a DELETION, indicate this by adding the mandatory **custom-build** prefix to the build name and using a descriptive name indicating the nature of the genome modification (e.g., GRCm38+pJT039(insertion).",GRCh38,"Conditional requirement: if the genome under study contains an INSERTION or a DELETION, this field MUST use the **custom-build** prefix and contain a descriptive name indicating the nature of the genome modification (e.g., GRCm38+pJT039(insertion)."
*##Modification=*,"In case the genome under study contains an iNSERTION or a DELETION, this field is used to provide a description of the nature and genomic position of DNA inseertion or deletion. ",pJT039:chr3(insertion 0001-2500),Conditional requirement: this MUST be reported if the genome under study contains an INSERTION or a DELETION.
*##VCF_File_Name=*,"In case the genome under study contains an iNSERTION or a DELETION, this field is used to provide the name of the `Variant Call Format (VCF) <https://samtools.github.io/hts-specs/VCFv4.2.pdf>`_ file that MUST be included with the dataset to report the nature and location of the genome INSERTION or DELETION.",pJT039:chr3.vcf,Conditional requirement: this MUST be reported if the genome under study contains an INSERTION or a DELETION.
*##VCF_Version=*,"In case the genome under study contains an iNSERTION or a DELETION, this field is used to provide the VCF version used for the VCF file describing the nature and location of the genome INSERTION or DELETION.",v4.2,Conditional requirement: this MUST be reported if the genome under study contains an INSERTION or a DELETION.
**##XYZ_Unit=**,"If relevant, the unit used to represent XYZ locations or distances in this table. Note: use micron to avoid problem with special, Greek symbols. Other allowed values *should* be drawn from SI units of `Length <https://en.wikipedia.org/wiki/SI_base_unit>`_. Examples: 'nm', 'micron' 'mm' etc.",micron,
**#Lab_Name:**,name of the lab where the experiment was performed.,Nobel,
**#Experimenter_Name:**,name of the person performing the experiment.,John Doe,
**#Experimenter_Contact:**,email address of the person performing the experiment.,john.doe@email.com,
**#Description:**,"A free-text, description of the experiment and of the data recorded in this table. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.",,
*#Software_Title:*,The name of the Software(s) that were used in this case for localizing individual FISH-omics bright Spots and/or to produce three-dimensional (3D) polymeric chromatin Traces.,ChrTracer3,
*#Software_Type:*,"The type of this Software. Allowed values: Loc, SpotLoc, Tracing, SpotLoc+Tracing, Segmentation, QC, Distance, Other",SpotLoc+Tracing,
*#Software_Authors:*,"The Name(s) of the individual Author(s) of this Software. In case there are more than one Authors, individual names should be listed as follows, Doe, John; Smith, Jane; etc,.","Mateo, LJ; Sinnott-Armstrong, N; Boettiger, AN",
*#Software_Description:*,"A free-text, description of this Software. This description should provide a detailed understanding of the algortithm and of the analysis parameters that were used, in order to guarantee interpretation and reproducibility.","ChrTracer3 software was developed for analysis of raw DNA labeled images. As an input, it takes an.xlsx table containing information and folder names of the DNA experiment. As an output, it returns tab delimited.txt ﬁles with drift-corrected x, y, z positions for all labeled barcodes. These can be used directly to calculate the nm scale distances between all pairs of labeled loci. The current version of the software as of this writing is ChrTracer3.",
*#Software_Repository:*,The URL of any repository or archive where the Software executable release can be obtained.,https://github.com/BoettigerLab/ORCA-public,
*#Software_PreferredCitationID:*,"The Unique Identifier for the preferred/primary publication describing this Software. Examples include, Digital Object Identifier (DOI), PubMed Central Identifier (PMCID), ArXiv.org ID etc,.",https://doi.org/10.1038/s41596-020-00478-x,
**#Additional_Tables:**,list of the additional tables being submitted. Note: use a comma to separate each table name from the next.,"4dn_FOF-CT_rna, 4dn_FOF-CT_quality, 4dn_FOF-CT_bio, 4dn_FOF-CT_trace, 4dn_FOF-CT_cell",
**##Columns=**,list of the data column headers used in the table. Note: enclose the column headers and use a comma to separate each header name from the next.,"(Spot_ID, Trace_ID, X, Y, Z, Chrom, Chrom_Start, Chrom_End, Cell_ID, Sub_Cell_ROI_ID, Extra_Cell_ROI_ID)",
