Name,Description,Example,Conditional requirement conditions
**Loc_ID**,A unique identifier for this individual Single-Molecule (SM) Localization event.,1,
**Spot_ID**,A unique identifier for the bright DNA or RNA Spot with which this individual SM Localization event is associated.,1,
**X**,The sub-pixel X coordinate of this SM Localization event.,14.43,
**Y**,The sub-pixel Y coordinate of this SM Localization event.,41.43,
**Z**,The sub-pixel Z coordinate of this SM Localization event.,1.23,
**Channel**,The wavelength characteristics of the emission channel that was used to image this individual SM Localization event., 510/20,
**Fluor**,The name of the Fluorophore whose Emission is utilized to detect this individual SM Localization event., Alexa Fluor 488,
Optional_Column_1,,,
Optional_Column_2,,,
Optional_Column_3,,,
