Name,Description,Example,Conditional requirement conditions
*Sub_Cell_ROI_ID*,"This field reports the unique identifier for a Region of Interest (ROI) that represents the boundaries of a sub-cellular structure identified as part of this experiment. Note: this is used to connect all Spots, and Traces that belong to the same ROI.",1,"Conditional requirement (Structural — exactly one of Sub_Cell_ROI_ID, Cell_ID, Extra_Cell_ROI_ID, see :ref:`conditional-requirements-reference-label`): this table's indexing column MUST be exactly one of these three, never more than one. Sub_Cell_ROI_ID MUST be used if this file reports subcellular ROI data."
*Cell_ID*,This field reports the unique identifier for ROI that represent the boundaries of a Cell identified as part of this experiment. Note: this is used to connect individual Spots or Traces that are part of the same Cell.,1,"Conditional requirement (Structural — exactly one of Sub_Cell_ROI_ID, Cell_ID, Extra_Cell_ROI_ID, see :ref:`conditional-requirements-reference-label`): this table's indexing column MUST be exactly one of these three, never more than one. Cell_ID MUST be used if this file reports Cell data."
*Extra_Cell_ROI_ID*,"This field reports the unique identifier for a ROI that represents the boundaries of a extracellular structure (e.g., Tissue) identified as part of this experiment. Note: this is used to connect all Spots, and Traces that belong to the same ROI.",1,"Conditional requirement (Structural — exactly one of Sub_Cell_ROI_ID, Cell_ID, Extra_Cell_ROI_ID, see :ref:`conditional-requirements-reference-label`): this table's indexing column MUST be exactly one of these three, never more than one. Extra_Cell_ROI_ID MUST be used if this file reports extracellular ROI data."
**ROI_Boundaries**,"The spatial boundary of this Cell/ROI, encoded exactly as declared in the file's ##ROI_Boundaries_Format_Type= header field. Dimensionality (2D vs. 3D) depends on the segmentation method and encoding format used — not on ROI type — and must be applied consistently for every row in this file. For polygon formats (e.g. OME_Polygon), use comma-separated x,y (2D) or x,y,z (3D) coordinates, space-separated between points.","0,0 1,2 3,5","Structural: MUST be reported for every row; format and dimensionality MUST match the declared ##ROI_Boundaries_Format_Type=."
Optional_Column_1,,,
Optional_Column_2,,,
Optional_Column_3,,,



