Name,Description,Example,Conditional requirement conditions
**##FOF-CT_version=**,Version of the FOF format used in this case.,v1.0,
**##Table_namespace=**,Identifier for this type of table. Value must be as in the example.,4dn_FOF-CT_rna_quality,
**##XYZ_Unit=**,"If relevant, the unit used to represent XYZ locations or distances in this table. Note: use micron to avoid problem with special, Greek symbols. Other allowed values *should* be drawn from SI units of `Length <https://en.wikipedia.org/wiki/SI_base_unit>`_. Examples: 'nm', 'micron' 'mm' etc.",micron,Conditional requirement: this MUST be reported if any locations metrics are reported.
*##Time_Unit=*,"If relevant, the unit used to represent a time interval in this table. Allowed values *should* be drawn from SI units of `Time <https://en.wikipedia.org/wiki/SI_base_unit>`_ or be one of the following: 'min', and 'hr'.",sec,Conditional requirement: this MUST be reported if any time metrics are reported.
*##Intensity_Unit=*,"If relevant, the unit used to represent intensity measurements in this table.",a.u.,Conditional requirement: this MUST be reported if any intensity metrics are reported.
**#Lab_Name:**,name of the lab where the experiment was performed.,Nobel,
**#Experimenter_Name:**,name of the person performing the experiment.,John Doe,
**#Experimenter_Contact:**,email address of the person performing the experiment.,john.doe@email.com,
**#Description:**,"A free-text, description of the experiment and of the data recorded in this table. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.",,
**#Software_Title:**,The name of the Software(s) that were used in this case for localizing individual FISH-omics bright Spots and/or to produce three-dimensional (3D) polymeric chromatin Traces.,ChrTracer3,
**#Software_Type:**,"The type of this Software. Allowed values: SpotLoc, Tracing, SpotLoc+Tracing, Segmentation, QC, Other",SpotLoc+Tracing,
**#Software_Authors:**,"The Name(s) of the individual Author(s) of this Software. In case there are more than one Authors, individual names should be listed as follows, Doe, John; Smith, Jane; etc,.","Mateo, LJ; Sinnott-Armstrong, N; Boettiger, AN",
**#Software_Description:**,"A free-text, description of this Software. This description should provide a detailed understanding of the algortithm and of the analysis parameters that were used, in order to guarantee interpretation and reproducibility.","ChrTracer3 software was developed for analysis of raw DNA labeled images. As an input, it takes an.xlsx table containing information and folder names of the DNA experiment. As an output, it returns tab delimited.txt ﬁles with drift-corrected x, y, z positions for all labeled barcodes. These can be used directly to calculate the nm scale distances between all pairs of labeled loci. The current version of the software as of this writing is ChrTracer3.",
**#Software_Repository:**,The URL of any repository or archive where the Software executable release can be obtained.,https://github.com/BoettigerLab/ORCA-public,
**#Software_PreferredCitationID:**,"The Unique Identifier for the preferred/primary publication describing this Software. Examples include, Digital Object Identifier (DOI), PubMed Central Identifier (PMCID), ArXiv.org ID etc,.",https://doi.org/10.1038/s41596-020-00478-x,
*#Intensity_Measurement_Method:*,"If relevant, the method that was used to performed intensity measurements. In particular, sufficient information should be provided to document how digital intensity signals were converted in Photon conunts.",Spot centroid intensity.,Conditional requirement: this MUST be reported if any intensity metrics are reported.
*#^Centroid_Intensity:*,The signal intensity of the pixel occupying the center-of-mass within a bright Spot (i.e. centroid).,,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Peak_Intensity:*,The signal intensity of the brightest pixel within a bright Spot (i.e. local maximum).,,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Raw_X:*,"The Raw sub-pixel X coordinate of this bright Spot relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Raw_Y:*,"The Raw sub-pixel Y coordinate of this bright Spot relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Raw_Z:*,"The Raw sub-pixel Z coordinate of this bright Spot relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^X_Drift:*,"This field captures the offset in the observed X-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Observed vs. Expected (i.e., based on a fiducial reference) positions. This shall be calculates as: √(Xe - Xo)^2, and reported in physical distance using the unit indicated in the header.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Y_Drift:*,"This field captures the offset in the observed Y-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Observed vs. Expected (i.e., based on a fiducial reference) positions. This shall be calculates as: √(Ye - Yo)^2, and reported in physical distance using the unit indicated in the header.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Z_Drift:*,"This field captures the offset in the observed Z-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Observed vs. Expected (i.e., based on a fiducial reference) positions. This shall be calculates as: √(Ze - Zo)^2, and reported in physical distance using the unit indicated in the header.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^X_Chromatic_Shift:*,"This field captures the offset in the observed X-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Reference (λR) vs. the Test (λT) wavelengths. This shall be calculated as: √(XλT - XλR)^2. This offset could be reported either in number of Pixels or in physical Distance, when a sub-Pixel offset needs to be calculated.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Y_Chromatic_Shift:*,"This field captures the offset in the observed Y-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Reference (λR) vs. the Test (λT) wavelengths. This shall be calculated as: √(YλT - YλR)^2. This offset could be reported either in number of Pixels or in physical Distance, when a sub-Pixel offset needs to be calculated.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Z_Chromatic_Shift:*,"This field captures the offset in the observed Z-coordinate of the Intensity maxima or the Intensity centre of gravity of the bright Spot when comparing the Reference (λR) vs. the Test (λT) wavelengths. This shall be calculated as: √(ZλT - ZλR)^2. This offset could be reported either in number of Pixels or in physical Distance, when a sub-Pixel offset needs to be calculated.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
