Name,Description,Example,Conditional requirement conditions
**##FOF-CT_Version=**,Version of the FOF format used in this case.,v2.0,
**##Table_Namespace=**,Identifier for this type of table. Value **must** be as in the example.,**FOF-CT_vol_quality**,
**##XYZ_Unit=**,"The unit used to represent XYZ locations or distances in this table. Note: use micron to avoid problems with special, Greek symbols. Allowed values (closed list): 'nm', 'micron', 'mm'.",micron,
*##Time_Unit=*,"If relevant, the unit used to represent a time interval in this table. Allowed values (closed list): 'ms', 'msec', 's', 'sec', 'min', 'hr'.",sec,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any time metric is reported in an optional column of this table."
*##Intensity_Unit=*,"If relevant, the unit used to represent intensity measurements in this table.",a.u.,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any intensity metric is reported in an optional column of this table."
**#Lab_Name:**,name of the lab where the experiment was performed.,Nobel,
**#Experimenter_Name:**,name of the person performing the experiment.,John Doe,
**#Experimenter_Contact:**,email address of the person performing the experiment.,john.doe@email.com,
**#Description:**,"A free-text, description of the experiment and of the data recorded in this table. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.",,
**#Software_Title:**,"The name of the Software tool that was used to produce the results reported in this table. If more than one software tool was used, please repeat a set of Software-fields for describing each of them.",AlgorithmXYZ,
**#Software_Type:**,"The type of this Software used to produce results recorded in this table. Allowed values: Distance Calculation, DriftCorrection, Precision Assessment, Segmentation, Single Molecule Localization, SpotLoc, SpotLoc+Tracing, Tracing, Other",Segmentation,
**#Software_Authors:**,"The Name(s) of the individual Author(s) of this Software. In case there are more than one Authors, individual names should be listed as follows, Doe, John; Smith, Jane; etc,.",John Doe,
**#Software_Description:**,"A free-text, description of this Software. This description should provide a detailed understanding of the algorithm and of the analysis parameters that were used, in order to guarantee interpretation and reproducibility.",A pretty clear description,
**#Software_Parameters:**,"A free-text description of the input parameters used for the specific analysis run performed using this Software. This description should provide sufficient details about the analysis parameters that were used as to guarantee interpretation and reproducibility. Example include input parameter used for assessing the precision of single molecule localization or drift correction in X,  Y and Z.","X_Loc_Precision Parameter = 1.01",
**#Software_Repository:**,The URL of any repository or archive where the Software executable release can be obtained.,https://github.com/repo_name_goes_here,
**#Software_PreferredCitationID:**,"The Unique Identifier for the preferred/primary publication describing this Software. Examples include  Digital Object Identifier (DOI),  PubMed Central Identifier (PMCID),  ArXiv.org ID etc.",https://doi.org/doi_goes_here,
*#Intensity_Measurement_Method:*,"If relevant, the method that was used to perform intensity measurements. In particular, in case Photon counts are reported sufficient information should be provided to document how such measurements were obtained and, if relevant, how digital intensity signals were converted to Photon counts.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any intensity metric is reported in an optional column of this table."
*#^X_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the X-axis coordinates of this Single Molecule (SM) Localization event. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Y_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the Y-axis coordinates of this SM Localization event. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Z_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the Z-axis coordinates of this SM Localization event. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Photon_Count:*,Number of photons detected for the given SM Localization event or Spot.,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Goodness_of_Fit:*,Metric quantifying how well the fitted point-spread-function (PSF) model matches the observed fluorescence signal during sub-pixel localization of the single-molecule emission event.,"chi-squared, R-squared","Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Centroid_Intensity:*,The signal intensity of the pixel occupying the center-of-mass within a fluorescence signal (i.e. centroid).,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Peak_Intensity:*,The signal intensity of the brightest pixel within a fluorescence signal (i.e. local maximum).,,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Raw_X:*,"The Raw sub-pixel X coordinate of this this SM Localization event relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Raw_Y:*,"The Raw sub-pixel Y coordinate of this this SM Localization event relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
*#^Raw_Z:*,"The Raw sub-pixel Z coordinate of this this SM Localization event relative to the optical system (i.e., Objective and Detector), as determined before any performed post-processing correction procedures (i.e. drift correction, chromatic correction etc). This is the appropriate coordinate system for correcting optical aberrations.",,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): required only if this specific metric is reported for this table; when reported, this exact reserved column name MUST be used."
